reaction	enzymes	rpairs	k-number	k-names
R01036	['1.1.1.21'- '1.1.1.72']	['C00116_C00577']	['K00011']	['aldehyde']
R01041	['1.1.1.2'- '1.1.1.21'- '1.1.1.72'- '1.1.1.372']	['C00116_C00577']	['K00002'- 'K00011']	['alcohol'- 'aldehyde']
R01543	['1.1.1.126']	['C00204_C04471']	[]	[]
R01745	['1.1.1.60']	['C00258_C01146']	['K00042']	['2-hydroxy-3-oxopropionate']
R01747	['1.1.1.60']	['C00258_C01146']	['K00042']	['2-hydroxy-3-oxopropionate']
R02047	['1.1.1.31']	['C00349_C01188']	[]	[]
R02257	['1.1.1.77']	['C00424_C00583']	['K00048']	['lactaldehyde']
R02258	['1.1.1.77']	['C00424_C02917']	[]	[]
R02259	['1.1.1.55']	['C00424_C00583']	[]	[]
R02577	['1.1.1.21']	['C00583_C05999']	['K00011']	['aldehyde']
R02819	['1.1.1.21']	['C00717_C01370']	[]	[]
R02820	['1.1.1.21']	['C00717_C01370']	[]	[]
R03012	['1.1.1.23']	['C00860_C01929']	['K00013'- 'K14152']	['histidinol'- 'phosphoribosyl-ATP']
R03080	['1.1.1.77']	['C00937_C02912']	[]	[]
R03183	['1.1.1.20']	['C01040_C02670']	[]	[]
R03257	[]	['C01115_C06430']	[]	[]
R03507	['1.14.15.15']	['C01301_C05446']	[]	[]
R03577	['1.1.1.114']	['C01488_C01569']	[]	[]
R04805	['1.1.1.1']	['C05444_C05445']	['K00001']	['alcohol']
R04880	['1.1.1.1']	['C05576_C05577']	['K00001'- 'K00121'- 'K04072'- 'K13951'- 'K13952'- 'K13953'- 'K13954'- 'K13980'- 'K18857']	['alcohol'- 'S-(hydroxymethyl)glutathione'- 'acetaldehyde'- 'alcohol'- 'alcohol'- 'alcohol'- 'alcohol'- 'alcohol'- 'alcohol']
R05066	['1.1.1.31'- '1.1.1.35']	['C06001_C06002']	['K00020'- 'K00022'- 'K01782'- 'K01825'- 'K07514']	['3-hydroxyisobutyrate'- '3-hydroxyacyl-CoA'- '3-hydroxyacyl-CoA'- '3-hydroxyacyl-CoA'- 'enoyl-CoA']
R06126	['1.1.1.276']	['C00065_C11822']	[]	[]
R07985	['1.1.1.291']	['C16159_C16390']	['K19647']	['2-hydroxymethylglutarate']
R08306	['1.1.1.1']	['C16586_C16587']	['K00001'- 'K00121'- 'K13951'- 'K13952'- 'K13953'- 'K13980']	['alcohol'- 'S-(hydroxymethyl)glutathione'- 'alcohol'- 'alcohol'- 'alcohol'- 'alcohol']
R08758	['1.14.15.15']	['C05444_C05445']	['K00488']	['cholestanetriol']
R08759	['1.14.15.15']	['C01301_C05446']	['K00488']	['cholestanetriol']
R09412	[]	['C19589_C19591']	['K15303']	['aflatoxin']
R09413	[]	['C19589_C19592']	['K15303']	['aflatoxin']
R09414	[]	['C19590_C19591']	['K15303']	['aflatoxin']
R09415	[]	['C19590_C19592']	['K15303']	['aflatoxin']
R10563	['1.1.1.372']	['C00116_C02426']	['K18107']	['L-glyceraldehyde']
R10719	['1.1.1.373']	['C20797_C20798']	['K08318']	['4-hydroxybutyrate']
R10985	['1.1.1.387']	['C00065_C11822']	[]	[]
R11355	['1.14.13.141']	['C20143_C21304']	[]	[]
R11359	['1.14.13.221']	['C21303_C21305']	[]	[]
R11618	['1.1.3.41']	['C00717_C01370']	[]	[]
